firmware	partitions_hash	support_list
wpa8630pv2_au-up-ver2-0-0-P1-20170608-rel64411-APPLC.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630P,product_ver:2.0.0,special_id:41550000}
wpa8630pv2_au-up-ver2-0-1-P1-20171030-rel35449.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630P,product_ver:2.0.0,special_id:41550000}
wpa8630pv2_au-up-ver2-1-0-P1-20180408-rel54921-APPLC.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630P,product_ver:2.0.0,special_id:41550000}
wpa8630pv2_au-up-ver2-1-0-P1-20180408-rel54921-APPLC.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630P,product_ver:2.1.0,special_id:41550000}
wpa8630pv2_de-up-ver2-0-2-P1-20171020-rel67332.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630P,product_ver:2.0.0,special_id:44450000}
wpa8630pv2_eu-up-ver2-0-3-P1-20171018-rel36564.bin	57e4d680b06f4b38347b78c0cc27d214	{product_name:TL-WPA8630P,product_ver:2.0.0,special_id:45550000}
wpa8630pv2_uk-up-ver2-1-0-P1-20171117-rel42724-APPLC.bin	0f740711dcfb557b9e321b96fa8c3880	{product_name:TL-WPA8630P,product_ver:2.1.0,special_id:45550000}
wpa8630v2_ca-up-ver2-0-1-P1-20171107-rel62737.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630,product_ver:2.0.0,special_id:43410000}
wpa8630v2_eu-up-ver2-0-2-P1-20171017-rel43480.bin	57e4d680b06f4b38347b78c0cc27d214	{product_name:TL-WPA8630,product_ver:2.0.0,special_id:45550000}
wpa8630v2_eu-up-ver2-0-3-P1-20190910-rel49754-APPLC.bin	3aeded28e1dff1043712ce291d238041	{product_name:TL-WPA8630,product_ver:2.0.0,special_id:45550000}
wpa8630v2_us-up-ver2-0-1-P1-20171011-rel33916.bin	00c44dc3d2394bca424692c8e55745ce	{product_name:TL-WPA8630,product_ver:2.0.0,special_id:55530000}
wpa8630v2_us-up-ver2-0-2-P1-20190910-rel37719-APPLC.bin	3aeded28e1dff1043712ce291d238041	{product_name:TL-WPA8630,product_ver:2.0.0,special_id:55530000}
